형태소,품사,분류,카운트
떨어졌다,Verb,정형돈,1
떨어지고,Verb,김태호,1
떨어지는,Verb,김태호,1
떨어지는데,Verb,길,1
떨어질텐데,Verb,박명수,1
떨지,Verb,박명수,1
떴을,Verb,정준하,1
또,Noun,노홍철,1
또,Noun,정준하,1
똑같습니다,Adjective,정준하,1
똥,Noun,정준하,1
똥글똥글,Noun,길,1
뚝뚝,Noun,김태호,1
뚱떙,Noun,유재석,1
뚱보,Noun,박명수,1
뛰었습니다,Verb,노홍철,1
뜨거운,Adjective,박명수,1
뜨거운,Adjective,유재석,1
뜯는게,Verb,노홍철,1
라,Josa,유재석,1
라고,Josa,길,1
라고,Josa,김태호,3
라고,Josa,노홍철,5
라고,Josa,유재석,1
라고,Josa,정준하,1
라고,Josa,정형돈,1
라고,Josa,최단비,1
라는,Josa,길,1
라는,Josa,노홍철,1
라는,Josa,유재석,2
라는,Josa,장진영,1
라는,Josa,정준하,1
라는,Josa,정형돈,4
라는,Josa,최단비,4
라도,Josa,박명수,1
라도,Josa,최단비,1
라며,Noun,노홍철,1
라면,Noun,유재석,2
라서,Noun,노홍철,1
랑,Josa,길,1
렀습,Noun,정준하,1
로,Josa,길,4
로,Josa,노홍철,2
로,Josa,박명수,2
로,Josa,유재석,2
로,Josa,장진영,1
로,Josa,정준하,4
로,Josa,정형돈,4
로,Josa,판사,1
로는,Josa,김태호,1
로서,Noun,장진영,1
로서,Noun,정형돈,2
롭고,Josa,노홍철,1
를,Josa,기자들,1
를,Josa,길,6
를,Josa,김태호,6
를,Josa,노홍철,8
를,Josa,박명수,8
를,Josa,유재석,15
를,Josa,장진영,1
를,Josa,정준하,14
를,Josa,정형돈,13
를,Josa,최단비,3
를,Josa,판사,1
를,Noun,박명수,1
를,Noun,유재석,1
를,Noun,장진영,1
리가,Noun,김태호,2
리쌍,Noun,길,1
마,Noun,정형돈,2
마다,Josa,유재석,1
마리,Noun,박명수,1
마시고요,Verb,정준하,1
마시기,Noun,박명수,1
마시지,Verb,김태호,1
마음,Noun,정준하,1
마지막,Noun,정준하,1
마쳤구요,Verb,노홍철,1
마치도록,Verb,판사,1
마치셨습니까,Verb,판사,1
막내,Noun,유재석,1
막던지는구만,Verb,정형돈,1
막막해요,Adjective,박명수,1
막말,Noun,노홍철,1
막말,Noun,정준하,1
만,Josa,길,1
만,Josa,노홍철,1
만,Josa,박명수,4
만,Josa,유재석,3
만,Josa,정준하,3
만,Josa,정형돈,4
만,Josa,판사,1
만,Modifier,박명수,2
만,Noun,길,1
만,Noun,박명수,1
만,Suffix,유재석,2
만,Suffix,정준하,3
만나주질,Verb,박명수,1
만날,Noun,박명수,1
만납니까,Verb,박명수,1
만드는,Verb,유재석,1
만든,Verb,장진영,1
만들어,Verb,길,2
만들어도,Verb,길,1
만들어서,Verb,유재석,1
만들어야지,Verb,박명수,1
만들었잖아요,Verb,길,1
만약,Noun,길,2
만약,Noun,정형돈,1
만일,Noun,김태호,1
만취,Noun,정형돈,1
많습니까,Adjective,정형돈,1
많았죠,Adjective,김태호,1
많은,Adjective,노홍철,1
많은,Adjective,유재석,1
많은,Adjective,정준하,1
많은,Adjective,정형돈,2
많이,Adverb,김태호,1
많이,Adverb,노홍철,1
많이,Adverb,박명수,1
많이,Adverb,유재석,2
많이,Adverb,정준하,1
말,Noun,길,4
말,Noun,김태호,3
말,Noun,박명수,3
말,Noun,유재석,4
말,Noun,장진영,2
말,Noun,정준하,3
말,Noun,정형돈,4
말,Noun,최단비,1
말고,Josa,박명수,1
말리,Noun,정준하,1
말씀,Noun,길,2
말씀,Noun,노홍철,1
말씀,Noun,박명수,4
말씀,Noun,유재석,3
말씀,Noun,정준하,2
말씀,Noun,정형돈,1
말씀,Noun,최단비,2
말씀,Noun,판사,1
말씀드리겠는데,Verb,정형돈,1
말씀드리고,Verb,길,1
말씀드리는,Verb,정준하,1
말씀드리지만,Verb,정준하,1
말입,Noun,노홍철,1
말쟁이,Noun,정형돈,1
맞나,Verb,정준하,1
맞는,Verb,정준하,1
맞서,Verb,노홍철,1
맞습니다,Verb,길,1
맞아요,Verb,길,1
맞아요,Verb,유재석,1
맞을까,Verb,김태호,1
맞지,Verb,정형돈,1
맡는다,Verb,박명수,1
맡을,Verb,김태호,1
매일,Noun,박명수,1
맥주,Noun,박명수,1
맥주,Noun,정형돈,1
맹세,Noun,김태호,1
머리,Noun,길,2
머리,Noun,김태호,2
머리,Noun,노홍철,1
머리,Noun,박명수,1
머리,Noun,정준하,2
머리,Noun,정형돈,2
먹고,Verb,김태호,1
먹고,Verb,박명수,2
먹고,Verb,장진영,2
